Car model;Link;Dollar Price;UAH Price;City;Type of Engine;Transmission;Drive Unit
Suzuki Jimny 2019;https://auto.ria.com/newauto/auto-suzuki-jimny-1845697.html;27 132 $;750 000 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1775545.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843919.html;21 380 $;591 000 грн;Харьков;Бензин 1.6 л;Автомат;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845227.html;19 173 $;530 000 грн;Ивано-Франковск;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1844325.html;21 232 $;586 900 грн;Харьков;Бензин 1.4 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1841567.html;20 635 $;570 400 грн;Ивано-Франковск;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1841566.html;19 267 $;532 600 грн;Ивано-Франковск;Бензин 1.6 л;Механическая;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845407.html;19 173 $;530 000 грн;Харьков;Бензин 1.2 л;Вариатор;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1842840.html;19 267 $;532 600 грн;Харьков;Бензин 1.6 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843177.html;17 708 $;489 500 грн;Львов;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1838782.html;17 708 $;489 500 грн;Харьков;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1838783.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1845545.html;19 061 $;526 900 грн;Днепр (Днепропетровск);Бензин 1.6 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1840871.html;20 635 $;570 400 грн;Тернополь;Бензин 1.6 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1837678.html;23 004 $;635 900 грн;Одесса;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1842756.html;21 380 $;591 000 грн;Одесса;Бензин 1.6 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1839373.html;19 061 $;526 900 грн;Одесса;Бензин 1.6 л;Автомат;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1845191.html;24 075 $;665 500 грн;Ивано-Франковск;Бензин 1.5 л;Автомат;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1844550.html;24 075 $;665 500 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1844585.html;21 232 $;586 900 грн;Днепр (Днепропетровск);Бензин 1.4 л;Автомат;Передний привод
Suzuki Jimny 2019;https://auto.ria.com/newauto/auto-suzuki-jimny-1845357.html;28 217 $;780 000 грн;Днепр (Днепропетровск);Бензин 1.5 л;Автомат;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845275.html;20 041 $;554 000 грн;Тернополь;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1833820.html;21 232 $;586 900 грн;Одесса;Бензин 1.4 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1845760.html;19 267 $;532 600 грн;Харьков;Бензин 1.6 л;Механическая;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1775538.html;25 066 $;692 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843920.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1832891.html;20 609 $;569 700 грн;Харьков;Бензин 1.5 л;Механическая;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1775535.html;25 066 $;692 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1775548.html;19 267 $;532 600 грн;Харьков;Бензин 1.6 л;Механическая;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1832892.html;24 075 $;665 500 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845912.html;19 426 $;537 000 грн;Днепр (Днепропетровск);Бензин 1.2 л;Вариатор;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845575.html;17 328 $;479 000 грн;Харьков;Бензин 1.2 л;Вариатор;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843070.html;21 380 $;591 000 грн;Львов;Бензин 1.6 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843922.html;17 708 $;489 500 грн;Харьков;Бензин 1.6 л;Механическая;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1845359.html;20 609 $;569 700 грн;Днепр (Днепропетровск);Бензин 1.5 л;Механическая;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1800152.html;28 398 $;785 000 грн;Одесса;Бензин 1.5 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1777892.html;24 560 $;678 900 грн;Одесса;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1838869.html;17 708 $;489 500 грн;Одесса;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1845308.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1835974.html;17 708 $;489 500 грн;Харьков;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843921.html;19 061 $;526 900 грн;Харьков;Бензин 1.6 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1775546.html;19 061 $;526 900 грн;Харьков;Бензин 1.6 л;Автомат;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845368.html;17 328 $;479 000 грн;Харьков;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1826365.html;25 066 $;692 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1841569.html;25 066 $;692 900 грн;Ивано-Франковск;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1841568.html;22 570 $;623 900 грн;Ивано-Франковск;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1775549.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1815950.html;25 066 $;692 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1826363.html;22 570 $;623 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845365.html;19 173 $;530 000 грн;Харьков;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1844414.html;20 609 $;569 700 грн;Днепр (Днепропетровск);Бензин 1.5 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1711111.html;19 267 $;532 600 грн;Хмельницкий;Бензин 1.6 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1832537.html;17 708 $;489 500 грн;Хмельницкий;Бензин 1.6 л;Механическая;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1845547.html;21 232 $;586 900 грн;Днепр (Днепропетровск);Бензин 1.4 л;Автомат;Передний привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845950.html;19 426 $;537 000 грн;Днепр (Днепропетровск);Бензин 1.2 л;Вариатор;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1711109.html;17 708 $;489 500 грн;Хмельницкий;Бензин 1.6 л;Механическая;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1837445.html;25 066 $;692 900 грн;Львов;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1844365.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845716.html;15 881 $;439 000 грн;Харьков;Бензин 1.2 л;Механическая;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1845793.html;28 398 $;785 000 грн;Львов;Бензин 1.5 л;Автомат;Полный привод
Suzuki Ignis 2020;https://auto.ria.com/newauto/auto-suzuki-ignis-1845790.html;19 426 $;537 000 грн;Львов;Бензин 1.2 л;Вариатор;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1845009.html;28 398 $;785 000 грн;Хмельницкий;Бензин 1.5 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1773313.html;19 267 $;532 600 грн;Хмельницкий;Бензин 1.6 л;Механическая;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1844543.html;22 585 $;624 300 грн;Харьков;Бензин 1.5 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1839718.html;17 723 $;489 900 грн;Тернополь;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1775547.html;21 380 $;591 000 грн;Харьков;Бензин 1.6 л;Автомат;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1711112.html;19 267 $;532 600 грн;Хмельницкий;Бензин 1.6 л;Механическая;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843929.html;20 635 $;570 400 грн;Харьков;Бензин 1.6 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1775762.html;25 066 $;692 900 грн;Хмельницкий;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1775761.html;23 004 $;635 900 грн;Хмельницкий;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1836324.html;24 994 $;690 900 грн;Тернополь;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1845976.html;21 232 $;586 900 грн;Харьков;Бензин 1.4 л;Автомат;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1832862.html;28 398 $;785 000 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1838871.html;25 500 $;704 900 грн;Запорожье;Бензин 1.4 л;Автомат;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1844302.html;24 075 $;665 500 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1775537.html;22 570 $;623 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1845015.html;17 708 $;489 500 грн;Хмельницкий;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843342.html;19 267 $;532 600 грн;Тернополь;Бензин 1.6 л;Механическая;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1788346.html;22 570 $;623 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1773311.html;20 635 $;570 400 грн;Хмельницкий;Бензин 1.6 л;Автомат;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1844931.html;28 398 $;785 000 грн;Тернополь;Бензин 1.5 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1844143.html;21 380 $;591 000 грн;Тернополь;Бензин 1.6 л;Автомат;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1826362.html;20 797 $;574 900 грн;Харьков;Бензин 1.4 л;Автомат;Передний привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1844554.html;28 398 $;785 000 грн;Харьков;Бензин 1.5 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1805676.html;22 570 $;623 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1775534.html;22 570 $;623 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki Jimny 2020;https://auto.ria.com/newauto/auto-suzuki-jimny-1832860.html;22 585 $;624 300 грн;Харьков;Бензин 1.5 л;Механическая;Полный привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1805677.html;20 797 $;574 900 грн;Харьков;Бензин 1.4 л;Автомат;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1839716.html;22 570 $;623 900 грн;Запорожье;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1839324.html;21 380 $;591 000 грн;Харьков;Бензин 1.6 л;Автомат;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1838798.html;20 797 $;574 900 грн;Запорожье;Бензин 1.4 л;Автомат;Передний привод
Suzuki Vitara 2020;https://auto.ria.com/newauto/auto-suzuki-vitara-1832225.html;25 066 $;692 900 грн;Харьков;Бензин 1.4 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1843172.html;20 635 $;570 400 грн;Днепр (Днепропетровск);Бензин 1.6 л;Автомат;Полный привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1836203.html;17 708 $;489 500 грн;Хмельницкий;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1841346.html;17 708 $;489 500 грн;Киев;Бензин 1.6 л;Механическая;Передний привод
Suzuki SX4 2020;https://auto.ria.com/newauto/auto-suzuki-sx4-1836072.html;20 635 $;570 400 грн;Хмельницкий;Бензин 1.6 л;Автомат;Полный привод
